city_id,region_id,name_ar,name_en
1,10,المنطرح وابو الحجر,Al-Mantarah and Abu Al-Hajar
4,10,السبتاء,Alsubta'
5,10,عطفه المبروق,Eitfih Almabruq
6,10,صبيا - الخليف,Sabya - Alkhalif
7,10,عقده عبس,Eaqadah Eabas
8,10,صبيا - الزهب,Sabya - Alzahab
9,10,مبركات,Mubrikat
10,10,الغصن,Alghasan
11,10,الحشيفه,Alhashifuh
13,10,صبياء,Sibya'
16,10,الخواجيه,Alkhawajih
19,10,الشمه,Alshamuh
21,10,الطراشه,Altarashuh
24,10,عبدالله العيافي,Abdullah Al-Oyafi
30,10,الخواره,Alkhawaruh
31,10,الشواهية,Alshawahia
32,10,الشعاره,Alshiearuh
39,10,صبيا - المحله,Sabya - Almahaluh
40,10,الملحاء الجديده,Almulaha' Aljadiduh
41,10,فرشه الملحاء,Farashah Almilha'
52,10,حله يحي جدع,Hulah Yahiu Jade
54,10,ابو الطين,'Abu Altiyn
55,10,صبيا - ام القضب,Sabya - Umm Alqadb
56,10,الجباليه,Aljabaliah
58,10,صبيا - المعاين,Sabya - Almaeayin
59,10,ام القحفه المخلاف,Umm Al-Qahfa Al-Makhlaf
62,10,ابو القعايد,'Abu Alqaeayid
63,10,العطن,Aleutn
64,10,نخلان,Nakhlan
65,10,الهمامه,Alhimamuh
76,10,ابوالسلع,Abwalsle
81,10,الصامخ,Alssamikh
85,10,العشه,Aleashuh
87,10,العدايا,Aleadaya
89,10,حلة العرشي,Hulat Alearshi
100,10,حله القميري,Halah Alqamiriu
103,10,حله الحو تين,Halah Alhawa Tyn
104,10,حله بن علوان,Halah Bin Eilwaan
106,10,حله عبدالله قبع,Halah Eubdallah Qabe
108,10,حله الكلابيه,Halah Alkalabiuh
109,10,ابو دنقور,'Abu Dnqur
111,10,زباره الجديين,Zubaruh Aljidiayn
114,10,الجوابره,Al-Jawaberah
116,10,الكدمى,Alkudmaa
120,10,امشلحه,Amshalahah
123,10,الضبيره,Aldabiruh
124,10,صبيا - طناطن,Sabya - Tunatin
125,10,عطفه وساع,Eitfih Wasae
126,10,صبيا - الحرف,Sebia - Alharaf
127,10,صبيا - المقبص,Sebia - Almuqabis
129,10,حله راجح,Halah Rajih
131,10,صبيا - الغريف,Sabya - Algharif
135,10,المطلع,Almutalie
136,10,الوحاشيه,Alwahashih
137,10,المضويه,Almudawih
138,10,البزاره,Albizaruh
139,10,حله محمد ضعافي النعمى,Halah Muhamad Daeafi Alnuemaa
140,10,حله احمد الناجعى,Halah 'Ahmad Alnaajieaa
143,10,الطوالبه,Altawalibuh
144,10,حله الاشراف,Halah Al'Iishraf
145,10,السرين,Alsiriyn
146,10,حله البقاش,Halah Albiqash
147,10,مردوسه,Maruduwsuh
148,10,ام سود,Umm Sud
149,10,قايم حويس,Qayim Hawis
150,10,الناجمه,Alnaajimuh
151,10,ام البهم,Umm Albuhim
152,10,الشقيبه,Alshaqibuh
153,10,قائم المحروق الشرقي,Qaim Al-Mahrouq Al-Sharqi
154,10,صبيا - المصياده,Sabya - Almisiaduh
156,10,قمبره نخلان,Yudaf
157,10,باطنه امزعكه,Batenah Emzakah
159,10,قايم الجعفرى,Qaym Aljefra
160,10,العزافى,Aleazafaa
161,10,الملعب,Almaleab
163,10,قايم البصه,Qayim Albasih
164,10,المعاسير,Almaeasir
165,10,القحمه,Alqahmuh
166,10,سر منيفه,Sirun Munifuh
167,10,المعسوم,Almaesum
168,10,تربه,Tarabah
169,10,خالف محمد,Khalaf Muhamad
176,10,ام سمر,Umm Samar
177,10,العواديه,Aleawadiuh
178,10,الصغيل,Alsaghil
180,10,مصم,Misam
182,10,الطفى,Altufaa
184,10,نقل المزامير,Naql Al Mazameer
185,10,بلاد عافيه,Belad Afyeh
186,10,الحوايا,Al Huwaya
187,10,لحمه,Lahmah
188,10,حيد الحزنه,Hed Al Hazanah
189,10,ذوات القاعه وردحه الكعبي,Zawat Alqaa wa Rudhah Alqaabi
190,10,نيد الظالع,Ned Ad-Dhalei
191,10,المطلعه,Al Matlaah
192,10,حيدان,Haydan
193,10,المخشم والجوامع,Al Makhsham wa Aljawamei
194,10,نيد ابار,Ned Abar
195,10,الكشمة,Al Kashmah
197,10,الرعان,Ar-Raan
198,10,الاعواس,Al Aawas
199,10,المرما وماحولها,Al Marma and surroundings
200,10,بقعة العلاج,Buqaat Al Elaj
201,10,الصمده,As-Samadah
202,10,المشرف العبدلى,Al Mushref Al Abdeli
203,10,فحيج,Faheej
204,10,المنهم والزور,Almunhem wa Az-Zur
205,10,اللحب وذم شفاء,Allahab wa Zam Shefaa
206,10,المقبعى,Al Maqbei
207,10,اللعثه العبدلى وماحولها,Allathah Alabdeli and surroundings
208,10,الشباب العبدلى,Ash-Shabab Alabdeli
209,10,فيفاء - الغمر,Fayfa - Al Ghumur
210,10,المرصده,Al Marsadah
211,10,المغاشي,Al Mughashi
212,10,ذراع منفه,Zeraa Manafah
213,10,ال السلعي,Al Asalae
214,10,آل اسلم,Al Aslam
215,10,بقعة مروح والعبسية,Buqaa Maruh wa Alabsyah
216,10,ال داوود,Al Daoud
217,10,وادى ذبوب,Wadi Zabub
218,10,ال روغه,Al Rawghah
219,10,آل برقان,Al Burqan
220,10,آل مقبل,Al Muqbel
221,10,الشدنه,Ash-Shadanah
222,10,المجرم الداثري,Al Mugrem Ad-Datheri
223,10,آل عجيبه,Al Ajeebah
224,10,ذراع البحر,Zeraa Albahr
225,10,آل حاوى والشباب,Al Hawi wa Ash-Shabab
226,10,البثنه,Albathanah
227,10,النفيعه,An-Nufayaah
228,10,الوعاله,Al Waalah
229,10,العذر ونيدالداره,Alauzr wa Ned Ad-Darah
230,10,الجوه الشراحيلي وهيئة التطوير,Aljua Ash-Sharaheli wa Hayet At-Tatweer
231,10,شكر وحزامران,Shukr wa Hazamran
232,10,نيد قوع والمشتل,Ned Quaa wa Almashtal
234,10,ذراع العددين,Thira Al-Adadain
235,10,الاشراف,Al Ashraaf
236,10,غره,Ghurah
237,10,الغاله ومزرعة الهيئة,Alghalah wa Farm of Alhayaah
238,10,فيفاء - الغميره,Fayfa - Al Ghumayrah
239,10,جوه ال سلمان,Juah Al Salman
240,10,صويقه والكساره,Suwayqah wa Alkasarah
241,10,نيد عقب,Ned Aqab
242,10,نيد العادى والعمامي وما حولها,Ned Al Adi wa Alamami and its surroundings
243,10,الحليحل,Alhulayhel
244,10,ذاري الوشاح,Zari Alweshah
245,10,الحسينة,Alhusaynah
246,10,دحره الوشاح,Dahrah Alweshah
247,10,فيفا - وادى البير,Faifa - WadiAlbeir
248,10,نيد الصدرولقعاد,Ned As-Sadrulqead
249,10,ال حسن قاسم,Al Hasan Qasim
250,10,فيفاء - الصفا,Fayfa - As-Safa
251,10,القلاع,Al Qulaa
252,10,ال قاسم,Al Qasim
253,10,السربه,As-Saryah
254,10,المفراوشطيةوماحولها,Al-Mafrawshtiyeh and its environs
255,10,ال المقنع,Al Almuqnei
256,10,المرويغه,Almurawbaghah
257,10,فيفاء - الفرشة,Fayfa - Al Farsha
258,10,المزام وماحولة,Almezam and its surroundings
259,10,وادى البير,Wadi Al-Bir
260,10,الداثرى,Ad-Datheri
261,10,حاذر,Hazer
262,10,ال عياس,Al Ayyas
263,10,ذراع اليحى على,Zeraa Aleehi Ali
264,10,القاضى,Alqadi
265,10,مرباء,Merbaa
266,10,ال مساتر,Al Musater
267,10,الحدبان بقعه ال سلمان,Alhudban Buqaa Al Salman
268,10,ال مناور و ال ردة,Al Munawer wa Al Ruda
269,10,فيفاء - الحشره,Fayfa - Alhasharah
270,10,فيفاء - الحوره,Fayfa - Alhawra
271,10,المغروف,Almaghroof
272,10,خرقه,Kherqah
273,10,السلعيه,As-Seleiah
274,10,نيد مجبا,Ned Majba
275,10,المعرف,Almuaraf
276,10,ام عتمه,Om Atmah
277,10,جرفاء,Garfaa
278,10,القصبه والمديد,Alqasabah wa Almaded
279,10,غينه وادي النفق,Ghinah Wadi Al-Nafaq
280,10,آل سليمان جابر,Al Sulaiman Jaber
281,10,فيفاء - المروه,Fayfa - Al Marwah
282,10,حرف الجعده,Harf Aljaadah
283,10,الحفنه,Al Hafnah
284,10,الهضمه,Alhudamah
285,10,ال محمد شريف,Al Mohamed Sherif
286,10,الصومله,As-Sawmalah
288,10,الضحى العيدلي,Al-Dhuha Al-Adili
